Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,Order_DateTime,Pickup_DateTime,Pickup_Delay_Min,Distance_Km
edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,20:35:00,20:40:00,Stormy,Jam,motorcycle,Urban,90,Cosmetics,2022-04-05 20:35:00,2022-04-05 20:40:00,5.0,4.47028648943395
qvfd540651807,35,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,23:20:00,23:30:00,Cloudy,Low,scooter,Metropolitian,190,Electronics,2022-03-12 23:20:00,2022-03-12 23:30:00,10.0,13.682044526080338
gzfn634029300,32,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,21:20:00,21:35:00,Windy,Jam,motorcycle,Metropolitian,235,Cosmetics,2022-03-16 21:20:00,2022-03-16 21:35:00,15.0,13.97318265391717
xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,23:35:00,23:45:00,Windy,Low,van,Urban,60,Jewelry,2022-04-02 23:35:00,2022-04-02 23:45:00,10.0,16.85361872985407
ahpg083217029,31,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,22:35:00,22:50:00,Sandstorms,Low,motorcycle,Metropolitian,130,Jewelry,2022-04-01 22:35:00,2022-04-01 22:50:00,15.0,4.674172124263596
itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,22:35:00,22:40:00,Stormy,Low,motorcycle,Urban,110,Cosmetics,2022-03-05 22:35:00,2022-03-05 22:40:00,5.0,7.601616771071131
asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,23:25:00,23:35:00,Sandstorms,Low,motorcycle,Urban,105,Jewelry,2022-02-11 23:25:00,2022-02-11 23:35:00,10.0,7.720324413180035
xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,13:35:00,13:40:00,Cloudy,High,scooter,Urban,125,Shoes,2022-02-11 13:35:00,2022-02-11 13:40:00,5.0,6.1756362610176
agoo012263585,32,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,22:35:00,22:45:00,Cloudy,Low,scooter,Metropolitian,150,Sports,2022-04-02 22:35:00,2022-04-02 22:45:00,10.0,19.91468696554527
ezif478391605,33,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,18:55:00,19:10:00,Sunny,Medium,motorcycle,Metropolitian,110,Jewelry,2022-03-08 18:55:00,2022-03-08 19:10:00,15.0,10.724517748045963
tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,14:15:00,14:25:00,Windy,High,scooter,Urban,50,Toys,2022-04-03 14:15:00,2022-04-03 14:25:00,10.0,6.127835452843913
mrfx777445506,20,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,11:00:00,11:10:00,Sandstorms,Low,scooter,Metropolitian,95,Kitchen,2022-03-30 11:00:00,2022-03-30 11:10:00,10.0,1.5203573134015247
czjt755903822,35,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,09:45:00,09:55:00,Sunny,Low,scooter,Urban,55,Clothing,2022-04-01 09:45:00,2022-04-01 09:55:00,10.0,3.0734537599374083
zqtj827550147,26,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,08:40:00,08:55:00,Stormy,Low,scooter,Metropolitian,55,Kitchen,2022-03-28 08:40:00,2022-03-28 08:55:00,15.0,3.10513147754577
luka250567007,22,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,23:00:00,23:10:00,Fog,Low,motorcycle,Metropolitian,140,Books,2022-03-18 23:00:00,2022-03-18 23:10:00,10.0,10.86742683448041
zkat983341391,35,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,17:25:00,17:30:00,Cloudy,Medium,motorcycle,Metropolitian,33,Grocery,2022-03-14 17:25:00,2022-03-14 17:30:00,5.0,10.865464603780305
ydhu273019158,37,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,19:45:00,19:50:00,Sandstorms,Jam,motorcycle,Metropolitian,260,Clothing,2022-04-04 19:45:00,2022-04-04 19:50:00,5.0,13.682516298591963
rpuq263118672,28,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,19:10:00,19:25:00,Stormy,Jam,scooter,Metropolitian,110,Cosmetics,2022-03-08 19:10:00,2022-03-08 19:25:00,15.0,16.826241648658563
nvck471535045,37,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,10:55:00,11:00:00,Fog,Low,scooter,Urban,16,Grocery,2022-02-13 10:55:00,2022-02-13 11:00:00,5.0,3.0272369309751475
rxgx102974679,23,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,21:40:00,21:45:00,Sunny,Jam,van,Metropolitian,55,Apparel,2022-03-24 21:40:00,2022-03-24 21:45:00,5.0,9.175193844437283
ikas794013321,27,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,19:00:00,19:15:00,Windy,Medium,scooter,Metropolitian,125,Snacks,2022-03-19 19:00:00,2022-03-19 19:15:00,15.0,9.315069177421467
dsyl658069912,37,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,16:45:00,16:55:00,Cloudy,Medium,motorcycle,Urban,130,Jewelry,2022-03-09 16:45:00,2022-03-09 16:55:00,10.0,6.209021101535329
wzoc344425774,33,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,11:30:00,11:40:00,Sunny,High,scooter,Metropolitian,90,Shoes,2022-03-19 11:30:00,2022-03-19 11:40:00,10.0,1.5203447277394997
dwnh519656346,31,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,15:10:00,15:15:00,Fog,Medium,motorcycle,Metropolitian,80,Books,2022-04-03 15:10:00,2022-04-03 15:15:00,5.0,6.037225392444489
yakw330215137,31,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,22:45:00,22:55:00,Stormy,Low,scooter,Metropolitian,115,Cosmetics,2022-03-25 22:45:00,2022-03-25 22:55:00,10.0,17.078665498349924
fris321432357,28,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,20:45:00,20:55:00,Sandstorms,Jam,motorcycle,Metropolitian,180,Kitchen,2022-04-04 20:45:00,2022-04-04 20:55:00,10.0,12.464329297636855
mxuw713526914,31,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,22:50:00,23:05:00,Cloudy,Low,motorcycle,Metropolitian,80,Clothing,2022-03-26 22:50:00,2022-03-26 23:05:00,15.0,9.12142598198074
carl449634661,24,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,17:55:00,18:00:00,Sunny,Medium,motorcycle,Urban,95,Snacks,2022-03-10 17:55:00,2022-03-10 18:00:00,5.0,14.02323208308413
msnw786727644,39,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,22:45:00,23:00:00,Sunny,Low,motorcycle,Metropolitian,135,Jewelry,2022-02-14 22:45:00,2022-02-14 23:00:00,15.0,13.392612276663753
vizd072469706,32,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,09:25:00,09:40:00,Windy,Low,scooter,Other,100,Shoes,2022-03-26 09:25:00,2022-03-26 09:40:00,15.0,1.490327105450187
rxxx129114996,25,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,22:25:00,22:35:00,Sandstorms,Low,scooter,Urban,90,Cosmetics,2022-03-29 22:25:00,2022-03-29 22:35:00,10.0,11.916582838287255
bull762076829,33,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,21:55:00,22:00:00,Sunny,Jam,scooter,Metropolitian,110,Books,2022-03-30 21:55:00,2022-03-30 22:00:00,5.0,4.663566689152346
fpkv432118410,30,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,22:40:00,22:55:00,Cloudy,Low,scooter,Metropolitian,170,Shoes,2022-03-12 22:40:00,2022-03-12 22:55:00,15.0,10.641157729337486
udpq945815554,33,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,23:50:00,23:55:00,Sandstorms,Low,motorcycle,Urban,120,Jewelry,2022-03-31 23:50:00,2022-03-31 23:55:00,5.0,16.818368923733058
qeqp930384577,36,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,15:25:00,15:40:00,Fog,Medium,scooter,Metropolitian,85,Pet Supplies,2022-03-17 15:25:00,2022-03-17 15:40:00,15.0,6.128551257918874
cwvq091479872,21,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,10:20:00,10:30:00,Sandstorms,Low,van,Metropolitian,70,Shoes,2022-02-15 10:20:00,2022-02-15 10:30:00,10.0,2.996250036666747
ivtf765857546,39,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,20:55:00,21:00:00,Stormy,Jam,motorcycle,Metropolitian,150,Skincare,2022-02-15 20:55:00,2022-02-15 21:00:00,5.0,7.342175722857832
gkrb550339468,39,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,20:10:00,20:15:00,Cloudy,Jam,scooter,Metropolitian,180,Home,2022-03-16 20:10:00,2022-03-16 20:15:00,5.0,13.972123977178395
tsec016509855,22,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,12:10:00,12:15:00,Sunny,High,scooter,Urban,90,Sports,2022-03-17 12:10:00,2022-03-17 12:15:00,5.0,6.0814407970077005
xczs106918282,32,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,15:30:00,15:45:00,Fog,Medium,scooter,Metropolitian,85,Outdoors,2022-03-15 15:30:00,2022-03-15 15:45:00,15.0,6.080891507841841
wycd588946822,26,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,23:50:00,00:05:00,Fog,Low,motorcycle,Metropolitian,50,Shoes,2022-03-05 23:50:00,2022-03-06 00:05:00,15.0,9.220373067021596
wnbv620439671,35,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,20:25:00,20:40:00,Sandstorms,Jam,motorcycle,Metropolitian,185,Pet Supplies,2022-03-12 20:25:00,2022-03-12 20:40:00,15.0,13.969606427684226
jvco758418006,39,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,20:50:00,21:00:00,Fog,Jam,scooter,Metropolitian,220,Electronics,2022-03-29 20:50:00,2022-03-29 21:00:00,10.0,13.97320677313832
zkks967394571,34,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,12:35:00,12:45:00,Windy,High,van,Metropolitian,140,Snacks,2022-03-19 12:35:00,2022-03-19 12:45:00,10.0,6.058853851668898
oiyh656906407,27,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,21:00:00,21:15:00,Cloudy,Jam,scooter,Metropolitian,210,Apparel,2022-03-10 21:00:00,2022-03-10 21:15:00,15.0,17.07799287216156
qhxw976953297,25,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,18:15:00,18:20:00,Cloudy,Medium,scooter,Metropolitian,195,Jewelry,2022-03-27 18:15:00,2022-03-27 18:20:00,5.0,17.07287190639919
mryb985330207,25,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,18:20:00,18:25:00,Stormy,Medium,motorcycle,Urban,100,Electronics,2022-03-27 18:20:00,2022-03-27 18:25:00,5.0,16.818368923733058
jzam829230168,30,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,11:45:00,11:50:00,Stormy,High,motorcycle,Metropolitian,155,Kitchen,2022-03-24 11:45:00,2022-03-24 11:50:00,5.0,2.9795028505763823
xnod694467359,24,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,20:45:00,20:55:00,Stormy,Jam,motorcycle,Metropolitian,65,Home,2022-03-09 20:45:00,2022-03-09 20:55:00,10.0,9.22086597503729
hcno407153953,39,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,21:55:00,22:10:00,Stormy,Jam,motorcycle,Metropolitian,140,Home,2022-03-03 21:55:00,2022-03-03 22:10:00,15.0,7.66133113422064
gyjc869072111,25,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,12:45:00,12:50:00,Windy,High,scooter,Urban,95,Snacks,2022-02-15 12:45:00,2022-02-15 12:50:00,5.0,6.175516093406556
wkqq813752515,37,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,23:30:00,23:45:00,Fog,Low,motorcycle,Urban,210,Kitchen,2022-02-18 23:30:00,2022-02-18 23:45:00,15.0,12.209856560906877
vdfj488526028,24,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,10:50:00,10:55:00,Fog,Low,motorcycle,Metropolitian,115,Electronics,2022-03-01 10:50:00,2022-03-01 10:55:00,5.0,1.5526813140975844
pngq326709686,25,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,21:25:00,21:40:00,Stormy,Jam,motorcycle,Metropolitian,195,Cosmetics,2022-03-23 21:25:00,2022-03-23 21:40:00,15.0,16.902806732498597
caja224507886,32,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,10:10:00,10:20:00,Stormy,Low,motorcycle,Metropolitian,125,Outdoors,2022-04-01 10:10:00,2022-04-01 10:20:00,10.0,1.5093577696342253
hnme204254454,34,4.7,-27.163303,78.057044,27.233303,78.127044,2022-02-16,23:00:00,23:05:00,Sandstorms,Low,scooter,Metropolitian,75,Clothing,2022-02-16 23:00:00,2022-02-16 23:05:00,5.0,20.85246332426502
uehx759760979,38,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,08:40:00,08:55:00,Cloudy,Low,scooter,Urban,75,Books,2022-03-11 08:40:00,2022-03-11 08:55:00,15.0,3.0251186390180176
sdod930462581,36,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,17:50:00,17:55:00,Sunny,Medium,van,Metropolitian,75,Home,2022-03-14 17:50:00,2022-03-14 17:55:00,5.0,13.407092693002163
visy471360404,25,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,20:25:00,20:40:00,Stormy,Jam,motorcycle,Metropolitian,75,Electronics,2022-03-18 20:25:00,2022-03-18 20:40:00,15.0,16.721976048741656
wddq796276216,29,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,22:20:00,22:25:00,Sunny,Low,motorcycle,Metropolitian,90,Outdoors,2022-04-01 22:20:00,2022-04-01 22:25:00,5.0,7.772343594464188
pqya338067587,36,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,23:40:00,23:50:00,Sandstorms,Low,van,Metropolitian,145,Clothing,2022-04-04 23:40:00,2022-04-04 23:50:00,10.0,13.773737657079213
last796029882,33,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,23:25:00,23:30:00,Fog,Low,motorcycle,Metropolitian,100,Snacks,2022-03-11 23:25:00,2022-03-11 23:30:00,5.0,7.790158927085036
mzyt873581742,36,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,12:40:00,12:55:00,Cloudy,High,scooter,Metropolitian,195,Skincare,2022-03-13 12:40:00,2022-03-13 12:55:00,15.0,6.217834398579603
kbhb286226770,21,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,23:30:00,23:45:00,Windy,Low,motorcycle,Metropolitian,95,Sports,2022-03-04 23:30:00,2022-03-04 23:45:00,15.0,16.852834881459735
okvp821614347,25,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,23:55:00,00:10:00,Cloudy,Low,scooter,Urban,19,Grocery,2022-03-26 23:55:00,2022-03-27 00:10:00,15.0,4.610035602261126
oska955853002,23,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,22:50:00,23:00:00,Windy,Low,motorcycle,Metropolitian,85,Electronics,2022-03-16 22:50:00,2022-03-16 23:00:00,10.0,19.87987067737402
rgwl479077727,25,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,10:25:00,10:40:00,Stormy,Low,motorcycle,Urban,75,Books,2022-03-01 10:25:00,2022-03-01 10:40:00,15.0,1.5580833985943423
tmzv371880726,24,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,08:45:00,09:00:00,Sandstorms,Low,motorcycle,Urban,95,Apparel,2022-03-15 08:45:00,2022-03-15 09:00:00,15.0,3.0253327061731827
ofxt601212694,27,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,21:25:00,21:40:00,Sandstorms,Jam,motorcycle,Metropolitian,145,Apparel,2022-03-04 21:25:00,2022-03-04 21:40:00,15.0,13.971948960174704
lbui872023073,23,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,22:35:00,22:40:00,Cloudy,Low,scooter,Urban,110,Jewelry,2022-03-18 22:35:00,2022-03-18 22:40:00,5.0,16.830905551931515
ixfk439251990,21,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,20:10:00,20:20:00,Fog,Jam,scooter,Metropolitian,210,Books,2022-03-23 20:10:00,2022-03-23 20:20:00,10.0,20.20779793335838
njfz936670348,27,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,10:55:00,11:10:00,Sandstorms,Low,scooter,Urban,60,Sports,2022-03-15 10:55:00,2022-03-15 11:10:00,15.0,3.040641621538215
drir663128253,32,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,20:35:00,20:45:00,Cloudy,Jam,motorcycle,Metropolitian,190,Skincare,2022-03-08 20:35:00,2022-03-08 20:45:00,10.0,20.253785359470154
drdr957134932,25,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,23:20:00,23:35:00,Sunny,Low,motorcycle,Metropolitian,115,Outdoors,2022-03-10 23:20:00,2022-03-10 23:35:00,15.0,16.721296009802852
qrzj427928057,39,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,10:35:00,10:50:00,Cloudy,Low,scooter,Metropolitian,75,Books,2022-02-11 10:35:00,2022-02-11 10:50:00,15.0,2.984550789786577
hkit681446136,27,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,23:45:00,23:50:00,Sunny,Low,motorcycle,Metropolitian,120,Shoes,2022-03-14 23:45:00,2022-03-14 23:50:00,5.0,12.161450531436996
imnm972342448,39,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,19:55:00,20:00:00,Windy,Jam,motorcycle,Metropolitian,185,Books,2022-03-16 19:55:00,2022-03-16 20:00:00,5.0,16.822155609316784
wnne890905509,31,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,22:15:00,22:25:00,Sandstorms,Low,scooter,Metropolitian,120,Sports,2022-03-01 22:15:00,2022-03-01 22:25:00,10.0,7.762556904358387
kbdc711046313,31,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,23:10:00,23:15:00,Sunny,Low,van,Metropolitian,65,Kitchen,2022-03-01 23:10:00,2022-03-01 23:15:00,5.0,9.055855161965688
alem833315854,20,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,09:15:00,09:30:00,Cloudy,Low,motorcycle,Other,80,Sports,2022-03-30 09:15:00,2022-03-30 09:30:00,15.0,1.5545816630915406
khjm619520065,36,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,18:25:00,18:35:00,Cloudy,Medium,motorcycle,Urban,210,Cosmetics,2022-03-02 18:25:00,2022-03-02 18:35:00,10.0,12.074047498027545
oiay843077855,20,4.9,23.416792,85.316842,23.506792,85.406842,2022-03-20,22:10:00,22:20:00,Sandstorms,Low,motorcycle,Metropolitian,85,Toys,2022-03-20 22:10:00,2022-03-20 22:20:00,10.0,13.58037387628081
ohhc448549441,24,4.6,26.892312,75.806896,26.922313,75.836896,2022-04-03,20:50:00,21:05:00,Cloudy,Jam,motorcycle,Metropolitian,125,Jewelry,2022-04-03 20:50:00,2022-04-03 21:05:00,15.0,4.469620875558469
knul324217390,39,4.2,22.761593,75.886362,22.871593,75.996362,2022-03-29,18:45:00,18:50:00,Fog,Medium,scooter,Metropolitian,195,Clothing,2022-03-29 18:45:00,2022-03-29 18:50:00,5.0,16.634870118211385
buux572471968,37,4.8,11.026117,76.944652,11.066117,76.984652,2022-03-17,14:55:00,15:05:00,Sunny,High,scooter,Metropolitian,90,Shoes,2022-03-17 14:55:00,2022-03-17 15:05:00,10.0,6.232139486668676
ieue797662723,32,4.9,13.064181,80.236442,13.104181,80.276442,2022-03-17,16:50:00,17:00:00,Sandstorms,Medium,motorcycle,Metropolitian,140,Books,2022-03-17 16:50:00,2022-03-17 17:00:00,10.0,6.209021101535329
eztk468187811,22,4.5,26.483042,80.317833,26.533042,80.367833,2022-02-15,22:20:00,22:35:00,Sandstorms,Low,scooter,Metropolitian,90,Skincare,2022-02-15 22:20:00,2022-02-15 22:35:00,15.0,7.460830127736771
zzid436960558,23,4.9,11.000762,76.981876,11.130762,77.111876,2022-03-18,00:00:00,00:15:00,Windy,Low,scooter,Metropolitian,90,Clothing,2022-03-18 00:00:00,2022-03-18 00:15:00,15.0,20.253785359470154
kllk327072475,33,4.7,23.359033,85.325347,23.469033,85.435347,2022-03-08,21:10:00,21:20:00,Fog,Jam,scooter,Metropolitian,245,Apparel,2022-03-08 21:10:00,2022-03-08 21:20:00,10.0,16.60097570059501
uurs547552548,23,4.7,22.569358,88.433452,22.599358,88.463452,2022-02-17,23:25:00,23:35:00,Sunny,Low,motorcycle,Metropolitian,75,Snacks,2022-02-17 23:25:00,2022-02-17 23:35:00,10.0,4.5403213728916425
ubwl989345056,27,4.6,12.914264,77.6784,12.994264,77.7584,2022-03-31,23:30:00,23:35:00,Sunny,Low,motorcycle,Metropolitian,105,Pet Supplies,2022-03-31 23:30:00,2022-03-31 23:35:00,5.0,12.421212735966272
